Mach,CD Power-On
0.01,0.39347049
0.02,0.41975581
0.03,0.41289618
0.04,0.40276062
0.05,0.39304128
0.06,0.3854276
0.07,0.38300545
0.08,0.38040304
0.09,0.37778625
0.1,0.3752312
0.11,0.37277189
0.12,0.3704216
0.13,0.36818319
0.14,0.36605429
0.15,0.36402995
0.16,0.36209969
0.17,0.360266
0.18,0.35851815
0.19,0.35685004
0.2,0.35525607
0.21,0.35373092
0.22,0.35226983
0.23,0.35086831
0.24,0.34952235
0.25,0.34822821
0.26,0.34714407
0.27,0.34610528
0.28,0.345109
0.29,0.34415263
0.3,0.34323381
0.31,0.34235033
0.32,0.34150018
0.33,0.34068147
0.34,0.33989255
0.35,0.33913175
0.36,0.33839766
0.37,0.3376889
0.38,0.33700419
0.39,0.33634235
0.4,0.33570231
0.41,0.33508302
0.42,0.33448354
0.43,0.33390297
0.44,0.33334047
0.45,0.33279525
0.46,0.33226657
0.47,0.33175376
0.48,0.33125615
0.49,0.33077313
0.5,0.33030411
0.51,0.32984856
0.52,0.32940597
0.53,0.32897585
0.54,0.32860923
0.55,0.32871314
0.56,0.32881717
0.57,0.32892133
0.58,0.32902558
0.59,0.32869517
0.6,0.32836488
0.61,0.32832701
0.62,0.32827874
0.63,0.32823061
0.64,0.32818258
0.65,0.32813465
0.66,0.32808686
0.67,0.32803915
0.68,0.32799158
0.69,0.32794409
0.7,0.32789674
0.71,0.32784948
0.72,0.32780235
0.73,0.3277553
0.74,0.32770839
0.75,0.32766156
0.76,0.32761486
0.77,0.32756827
0.78,0.32752177
0.79,0.32747539
0.8,0.32742911
0.81,0.32738294
0.82,0.32733687
0.83,0.32729091
0.84,0.32724507
0.85,0.32719931
0.86,0.32715367
0.87,0.32710811
0.88,0.32706268
0.89,0.32701736
0.9,0.32697211
0.91,0.32919552
0.92,0.33586576
0.93,0.35398019
0.94,0.38020371
0.95,0.40642722
0.96,0.43265074
0.97,0.45887426
0.98,0.48509778
0.99,0.51132129
1,0.53754481
1.01,0.56376833
1.02,0.58999185
1.03,0.61621536
1.04,0.64243888
1.05,0.6686624
1.06,0.69440835
1.07,0.72156415
1.08,0.75011811
1.09,0.78006093
1.1,0.81138567
1.11,0.84408681
1.12,0.87816077
1.13,0.91360493
1.14,0.94461072
1.15,0.92478444
1.16,0.906315
1.17,0.88930216
1.18,0.87355591
1.19,0.85891058
1.2,0.84506051
1.21,0.83197024
1.22,0.81963556
1.23,0.80797577
1.24,0.79692188
1.25,0.78641461
1.26,0.77640271
1.27,0.76684154
1.28,0.75769204
1.29,0.7489199
1.3,0.74049471
1.31,0.73238958
1.32,0.72458047
1.33,0.71704594
1.34,0.70976669
1.35,0.70272535
1.36,0.69590625
1.37,0.68929512
1.38,0.68287903
1.39,0.67664624
1.4,0.67058594
1.41,0.66468826
1.42,0.65894418
1.43,0.65334535
1.44,0.64788404
1.45,0.64255326
1.46,0.63734634
1.47,0.63225722
1.48,0.62728029
1.49,0.62241025
1.5,0.61764219
1.51,0.61297155
1.52,0.60839404
1.53,0.60390567
1.54,0.59950267
1.55,0.59518156
1.56,0.59093899
1.57,0.58677188
1.58,0.58267725
1.59,0.5786523
1.6,0.57469409
1.61,0.57080021
1.62,0.56696828
1.63,0.56319617
1.64,0.55948178
1.65,0.55582313
1.66,0.55221839
1.67,0.54866572
1.68,0.54516347
1.69,0.54171002
1.7,0.53830387
1.71,0.53494353
1.72,0.53162761
1.73,0.5283548
1.74,0.5251238
1.75,0.52193342
1.76,0.51878251
1.77,0.51566995
1.78,0.51259465
1.79,0.50955564
1.8,0.5065519
1.81,0.50358254
1.82,0.50064662
1.83,0.49774328
1.84,0.49487173
1.85,0.49203115
1.86,0.48922072
1.87,0.48643977
1.88,0.4836876
1.89,0.48096345
1.9,0.47826673
1.91,0.47559676
1.92,0.47295295
1.93,0.47033469
1.94,0.46774143
1.95,0.4651726
1.96,0.46262768
1.97,0.46010614
1.98,0.45745938
1.99,0.454835
2,0.45223259
2.01,0.44976848
2.02,0.44732037
2.03,0.44489503
2.04,0.44249204
2.05,0.44011096
2.06,0.4377514
2.07,0.43541297
2.08,0.43309531
2.09,0.43079799
2.1,0.42852071
2.11,0.42626309
2.12,0.42402479
2.13,0.42180548
2.14,0.41960486
2.15,0.41742259
2.16,0.41525837
2.17,0.41311193
2.18,0.41098296
2.19,0.40887118
2.2,0.40677633
2.21,0.40469814
2.22,0.40263633
2.23,0.40059066
2.24,0.39856091
2.25,0.39654679
2.26,0.39454811
2.27,0.39256461
2.28,0.3905961
2.29,0.38864233
2.3,0.3867031
2.31,0.3847782
2.32,0.38286745
2.33,0.38097061
2.34,0.3790875
2.35,0.37721797
2.36,0.3753618
2.37,0.37351879
2.38,0.3716888
2.39,0.36987163
2.4,0.36806715
2.41,0.36627516
2.42,0.36449551
2.43,0.36272803
2.44,0.36097258
2.45,0.35922901
2.46,0.3579464
2.47,0.35667538
2.48,0.35541579
2.49,0.35416748
2.5,0.35293034
2.51,0.35170423
2.52,0.35048902
2.53,0.34928455
2.54,0.34809074
2.55,0.34690742
2.56,0.34573449
2.57,0.34457185
2.58,0.34341936
2.59,0.3422769
2.6,0.34114437
2.61,0.34002165
2.62,0.33890865
2.63,0.33780523
2.64,0.33671131
2.65,0.33562678
2.66,0.33455155
2.67,0.3334855
2.68,0.33242854
2.69,0.3313806
2.7,0.33034152
2.71,0.32931128
2.72,0.32828974
2.73,0.32727683
