Mach Number,CD
0,0
0.01,0.3587379
0.01,0.3587378
0.01,0.3587377
0.01,0.3587375
0.01030469,0.3622452
0.01504492,0.3923939
0.01989589,0.4012181
0.02477114,0.4024251
0.02967077,0.4005823
0.03459482,0.3974375
0.03954333,0.3937511
0.04448776,0.3899035
0.04942491,0.3860728
0.0543547,0.3823437
0.05927714,0.3787557
0.0641922,0.3753245
0.06909983,0.3720534
0.07400002,0.3689393
0.07889268,0.3659754
0.08377785,0.3631537
0.08866605,0.3604598
0.09355731,0.3578858
0.09845152,0.3554241
0.1033488,0.3530672
0.108249,0.3508084
0.1131523,0.3486411
0.1180587,0.3465594
0.1229681,0.344558
0.1278804,0.3426316
0.1327958,0.3407756
0.1377143,0.3389858
0.1426357,0.3372582
0.1475601,0.3355891
0.1524875,0.3339752
0.157418,0.3324133
0.1623515,0.3309007
0.1672879,0.3294347
0.1722274,0.3280127
0.1771699,0.3266325
0.1821183,0.3252913
0.1870727,0.323987
0.192033,0.3227181
0.1969993,0.3214826
0.2019715,0.3202792
0.2069497,0.3191062
0.2119339,0.3179625
0.216924,0.3147889
0.2219202,0.315024
0.2269224,0.3152255
0.2319305,0.3153961
0.2369446,0.3155381
0.2419647,0.3156538
0.2469908,0.3157454
0.2520228,0.3158312
0.2570609,0.3159223
0.2621049,0.3159958
0.267155,0.3160529
0.272211,0.3160951
0.2772731,0.3161232
0.2823412,0.3161384
0.2874153,0.3161417
0.2924955,0.3161339
0.2975816,0.3161158
0.3026738,0.3160881
0.3077722,0.3160517
0.3128765,0.316007
0.3179869,0.3159548
0.3231034,0.3158955
0.3282259,0.3158297
0.3333545,0.3157578
0.3384893,0.3156802
0.3436301,0.3155975
0.3487769,0.3155099
0.3539299,0.3154179
0.359089,0.3153217
0.3642543,0.3152216
0.3694256,0.315118
0.3746031,0.3150111
0.3797867,0.3149013
0.3849764,0.3147886
0.3901723,0.3146733
0.3953744,0.3145557
0.4005826,0.3144359
0.4057969,0.3143141
0.4110175,0.3141905
0.4162441,0.3140652
0.421477,0.3139384
0.4267161,0.3138102
0.4319614,0.3136808
0.4372129,0.3135502
0.4424706,0.3134187
0.4477344,0.3132862
0.4530045,0.313153
0.4582808,0.3130191
0.4635634,0.3128845
0.4688522,0.3127494
0.4741472,0.3126139
0.4794493,0.312478
0.484759,0.3123418
0.4900765,0.3122053
0.4954019,0.3120686
0.500735,0.3119317
0.5060759,0.3117948
0.5114246,0.3116578
0.5167812,0.3115208
0.5221455,0.3113838
0.5275177,0.311247
0.5328978,0.3111103
0.5382857,0.3109738
0.5436815,0.3108375
0.5490852,0.3107015
0.5544968,0.3105657
0.5599163,0.3104303
0.5653436,0.3102952
0.570779,0.3101605
0.5762222,0.3100262
0.5816734,0.3098195
0.5871326,0.3094487
0.5925998,0.309078
0.5980751,0.3087075
0.6035584,0.3084189
0.6090498,0.3081633
0.6145492,0.3079084
0.6200567,0.3076541
0.6255722,0.3074005
0.6310959,0.3071475
0.6366277,0.3068952
0.6421674,0.3066435
0.6477156,0.3063926
0.6532716,0.3061423
0.6588359,0.3058926
0.6644083,0.3056436
0.669989,0.3053953
0.6755778,0.3051477
0.6811748,0.3049007
0.68678,0.3046544
0.6923935,0.3044088
0.6980152,0.3041638
0.7036451,0.3039196
0.7092834,0.3036759
0.7149298,0.3034329
0.7205846,0.3031906
0.7262477,0.302949
0.7319192,0.302708
0.7375988,0.3024676
0.743287,0.3022279
0.7489835,0.3019889
0.7546883,0.3017505
0.7604015,0.3015127
0.7661231,0.3012756
0.7718532,0.3010392
0.7775916,0.3008033
0.7833385,0.3005681
0.7890939,0.3003335
0.7948577,0.3000995
0.80063,0.2998661
0.8064108,0.2996334
0.8122001,0.2994013
0.8179979,0.2991697
0.8238043,0.2989388
0.8296192,0.2987085
0.8354427,0.2984788
0.8412748,0.2982497
0.8471154,0.2980211
0.8529648,0.2977932
0.8588226,0.2975658
0.8646891,0.297339
0.8705643,0.2971128
0.8764482,0.2968872
0.8823407,0.296662
0.8882418,0.2964375
0.8941518,0.2962135
0.9000704,0.295993
0.9059979,0.2967267
0.9119334,0.2988788
0.9178763,0.3024549
0.9238255,0.3074591
0.9297802,0.3246363
0.9357322,0.3445844
0.9416797,0.3645174
0.9476224,0.3844345
0.9535596,0.4043331
0.9594914,0.4242138
0.965417,0.4440737
0.9713365,0.4639133
0.9772493,0.4837305
0.9831552,0.5035246
0.9890537,0.523294
0.9949447,0.5430384
1.000828,0.562757
1.006702,0.5824445
1.012568,0.6021053
1.018425,0.621736
1.024272,0.6413333
1.03011,0.6609005
1.035938,0.6804343
1.041755,0.6999313
1.047561,0.7193915
1.053357,0.7390085
1.05914,0.7591869
1.064911,0.7799104
1.070669,0.8011693
1.076412,0.8229501
1.08214,0.8452464
1.087853,0.8680524
1.093548,0.89135
1.099225,0.9151329
1.104884,0.939395
1.110522,0.9641171
1.11614,0.9892973
1.121737,0.9879587
1.127337,0.9736884
1.132953,0.9602295
1.138584,0.9475045
1.14423,0.9354442
1.149892,0.9239864
1.155567,0.9128864
1.161256,0.9022754
1.166957,0.8921329
1.172665,0.88243
1.178382,0.8731292
1.184107,0.864202
1.189838,0.8556238
1.195577,0.8473132
1.201323,0.8392079
1.207076,0.831383
1.212835,0.8238217
1.218601,0.8165059
1.224374,0.8094205
1.230152,0.802554
1.235937,0.7958911
1.241728,0.7894215
1.247524,0.7831353
1.253327,0.7770203
1.259135,0.7710696
1.264949,0.7652735
1.270768,0.7596252
1.276592,0.7541171
1.282422,0.7487416
1.288258,0.7434923
1.294098,0.738365
1.299944,0.7333524
1.305794,0.728451
1.31165,0.7236543
1.317511,0.7189584
1.323376,0.71436
1.329246,0.7098542
1.335122,0.7054363
1.341002,0.7011045
1.346886,0.6968551
1.352776,0.6926837
1.35867,0.6885886
1.364569,0.6845664
1.370472,0.6806148
1.37638,0.6767309
1.382293,0.672912
1.38821,0.6691566
1.394131,0.6654626
1.400057,0.661827
1.405988,0.6582481
1.411923,0.6547244
1.417862,0.6512544
1.423806,0.6478356
1.429754,0.6444669
1.435706,0.6411469
1.441663,0.6378734
1.447625,0.6346452
1.45359,0.6314618
1.45956,0.6283209
1.465534,0.6252218
1.471513,0.6221628
1.477496,0.6191434
1.483483,0.6161622
1.489475,0.6132179
1.49547,0.6103103
1.501471,0.6074371
1.507475,0.6045988
1.513484,0.6017936
1.519497,0.5990209
1.525514,0.5962801
1.531535,0.5935702
1.537561,0.5908902
1.543591,0.5882396
1.549626,0.5856174
1.555665,0.5830233
1.561707,0.580457
1.567755,0.5779166
1.573806,0.5754028
1.579862,0.5729141
1.585921,0.5704509
1.591979,0.568014
1.598036,0.565603
